dataset,target_id,target_label,target_apis,target_sanitizers,demo_rank,demo_id,demo_label,demo_apis,demo_sanitizers,code_similarity,graph_similarity,hybrid_score,api_similarity,sanitizer_similarity,memory_similarity,security_similarity,retrieval_case
devign,id_10000_label_False_qemu.c_0,0,,1,1,id_10273_label_False_qemu.c_250,0,fprintf,1,0.0719,0.5138,0.2045,0.0,1.0,0.6667,0.5,Case D (Missed Security Similarity)
devign,id_10000_label_False_qemu.c_0,0,,1,2,id_11967_label_False_qemu.c_1755,0,printf,2,0.0577,0.367,0.1505,0.0,0.5,1.0,0.45,Uncorrelated / Low Similarity
devign,id_10000_label_False_qemu.c_0,0,,1,3,id_12732_label_False_qemu.c_2429,0,,1,0.1,0.0099,0.073,1.0,1.0,1.0,1.0,Case D (Missed Security Similarity)
devign,id_10000_label_False_qemu.c_0,0,,1,4,id_12622_label_False_qemu.c_2334,0,,1,0.0667,0.0142,0.0509,1.0,1.0,1.0,1.0,Case D (Missed Security Similarity)
devign,id_10000_label_False_qemu.c_0,0,,1,5,id_11491_label_True_qemu.c_1332,1,,1,0.0484,0.0095,0.0367,1.0,1.0,1.0,1.0,Case D (Missed Security Similarity)
devign,id_10026_label_False_qemu.c_1,0,,1,1,id_10152_label_True_qemu.c_142,1,,1,0.2778,0.7251,0.412,1.0,1.0,0.6667,0.9,Case C (Dangerous - Label Mismatch)
devign,id_10026_label_False_qemu.c_1,0,,1,2,id_12503_label_True_qemu.c_2219,1,,1,0.1714,0.5694,0.2908,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10026_label_False_qemu.c_1,0,,1,3,id_10249_label_False_qemu.c_228,0,,1,0.1463,0.6262,0.2903,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10026_label_False_qemu.c_1,0,,1,4,id_10954_label_False_qemu.c_849,0,,3,0.1224,0.6416,0.2782,1.0,0.3333,0.6667,0.7,Case D (Missed Security Similarity)
devign,id_10026_label_False_qemu.c_1,0,,1,5,id_13093_label_True_qemu.c_2751,1,,2,0.0893,0.0113,0.0659,1.0,0.5,0.6667,0.75,Case D (Missed Security Similarity)
devign,id_10049_label_False_qemu.c_2,0,,1,1,id_12392_label_True_qemu.c_2117,1,,1,0.8241,0.9882,0.8733,1.0,1.0,1.0,1.0,Case C (Dangerous - Label Mismatch)
devign,id_10049_label_False_qemu.c_2,0,,1,2,id_13362_label_False_qemu.c_2994,0,,1,0.8021,0.9891,0.8582,1.0,1.0,1.0,1.0,Case A (Good)
devign,id_10049_label_False_qemu.c_2,0,,1,3,id_13099_label_True_qemu.c_2756,1,fprintf,1,0.3267,0.8071,0.4708,0.0,1.0,1.0,0.6,Case C (Dangerous - Label Mismatch)
devign,id_10049_label_False_qemu.c_2,0,,1,4,id_12125_label_False_qemu.c_1887,0,,1,0.1209,0.5966,0.2636,1.0,1.0,1.0,1.0,Case D (Missed Security Similarity)
devign,id_10049_label_False_qemu.c_2,0,,1,5,id_11294_label_True_qemu.c_1160,1,,1,0.155,0.364,0.2177,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10055_label_False_qemu.c_3,0,,1,1,id_10375_label_False_qemu.c_338,0,,0,0.2143,0.3945,0.2683,1.0,0.0,0.6667,0.6,Case D (Missed Security Similarity)
devign,id_10055_label_False_qemu.c_3,0,,1,2,id_12837_label_False_qemu.c_2516,0,,1,0.2045,0.2123,0.2069,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10055_label_False_qemu.c_3,0,,1,3,id_12690_label_False_qemu.c_2390,0,,1,0.2,0.1821,0.1946,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10055_label_False_qemu.c_3,0,,1,4,id_10012_label_False_qemu.c_12,0,,1,0.1395,0.2125,0.1614,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10055_label_False_qemu.c_3,0,,1,5,id_1140_label_True_qemu.c_1260,1,,1,0.1154,0.1625,0.1295,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
devign,id_10064_label_False_qemu.c_4,0,,1,1,id_11031_label_False_FFmpeg.c_915,0,,1,0.0882,0.5785,0.2353,1.0,1.0,1.0,1.0,Case D (Missed Security Similarity)
