dataset,target_id,target_label,target_apis,target_sanitizers,demo_rank,demo_id,demo_label,demo_apis,demo_sanitizers,code_similarity,graph_similarity,hybrid_score,api_similarity,sanitizer_similarity,memory_similarity,security_similarity,retrieval_case
reveal,-1929262071302712016_0,0,,2,1,-1929262071302712016_823,0,,3,0.4583,0.2352,0.3914,1.0,0.6667,0.6667,0.8,Case A (Good)
reveal,-1929262071302712016_0,0,,2,2,-2325305888478261876_456,0,,2,0.3036,0.4617,0.351,1.0,1.0,0.6667,0.9,Case A (Good)
reveal,-1929262071302712016_0,0,,2,3,-3889154245145551951_2522,0,,2,0.3276,0.4,0.3493,1.0,1.0,1.0,1.0,Case A (Good)
reveal,-1929262071302712016_0,0,,2,4,-3889154245145551951_314,0,,1,0.2727,0.011,0.1942,1.0,0.5,0.6667,0.75,Case A (Good)
reveal,-1929262071302712016_0,0,,2,5,1182028467273264883_773,0,,1,0.2,0.0091,0.1427,1.0,0.5,0.6667,0.75,Case D (Missed Security Similarity)
reveal,4496746249504396521_1,0,,1,1,3922590808198483791_1598,0,,2,0.3077,0.5863,0.3913,1.0,0.5,1.0,0.85,Case A (Good)
reveal,4496746249504396521_1,0,,1,2,5357882892791796049_689,0,,1,0.3061,0.4153,0.3389,1.0,1.0,0.6667,0.9,Case A (Good)
reveal,4496746249504396521_1,0,,1,3,-7019074708255236794_657,0,,1,0.3148,0.3834,0.3354,1.0,1.0,1.0,1.0,Case A (Good)
reveal,4496746249504396521_1,0,,1,4,-6216181551924087864_2111,0,calloc,3,0.3,0.2838,0.2951,0.0,0.3333,0.3333,0.2,Case B (Superficially Similar)
reveal,4496746249504396521_1,0,,1,5,5357882892791796049_1036,0,,1,0.2857,0.2854,0.2856,1.0,1.0,0.3333,0.8,Case A (Good)
reveal,2636502839178711655_2,1,,2,1,5976900907644301719_2187,0,,1,0.1868,0.6008,0.311,1.0,0.5,1.0,0.85,Case D (Missed Security Similarity)
reveal,2636502839178711655_2,1,,2,2,8637588907624249958_249,0,,1,0.1837,0.3088,0.2212,1.0,0.5,0.6667,0.75,Case D (Missed Security Similarity)
reveal,2636502839178711655_2,1,,2,3,-8919449269326401539_969,0,,1,0.1634,0.347,0.2185,1.0,0.5,0.6667,0.75,Case D (Missed Security Similarity)
reveal,2636502839178711655_2,1,,2,4,-5082285935423529157_2501,0,,2,0.1866,0.1278,0.1689,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
reveal,2636502839178711655_2,1,,2,5,-5082285935423529157_2159,0,,2,0.1825,0.1278,0.1661,1.0,1.0,0.6667,0.9,Case D (Missed Security Similarity)
reveal,-8556362624908896577_3,0,,1,1,-5262394088289559608_2428,0,,1,0.3947,0.5426,0.4391,1.0,1.0,1.0,1.0,Case A (Good)
reveal,-8556362624908896577_3,0,,1,2,-2915908172644760936_1536,0,,1,0.3636,0.2741,0.3368,1.0,1.0,0.6667,0.9,Case A (Good)
reveal,-8556362624908896577_3,0,,1,3,2713698759296604855_1523,0,,1,0.2558,0.3884,0.2956,1.0,1.0,1.0,1.0,Case A (Good)
reveal,-8556362624908896577_3,0,,1,4,-6119142299306266167_900,0,,1,0.2097,0.2055,0.2084,1.0,1.0,0.3333,0.8,Case D (Missed Security Similarity)
reveal,-8556362624908896577_3,0,,1,5,-8933711118846965366_2006,0,,1,0.26,0.0091,0.1847,1.0,1.0,0.6667,0.9,Case A (Good)
reveal,8801969307247112896_4,0,memcpy,2,1,8801969307247112896_1704,0,memcpy,3,0.3033,0.3271,0.3105,1.0,0.6667,1.0,0.9,Case A (Good)
reveal,8801969307247112896_4,0,memcpy,2,2,8801969307247112896_2385,0,memcpy,3,0.3033,0.3271,0.3105,1.0,0.6667,1.0,0.9,Case A (Good)
reveal,8801969307247112896_4,0,memcpy,2,3,8801969307247112896_438,0,memcpy,3,0.2749,0.3271,0.2906,1.0,0.6667,1.0,0.9,Case A (Good)
reveal,8801969307247112896_4,0,memcpy,2,4,8801969307247112896_1211,0,,2,0.3659,0.0139,0.2603,0.0,1.0,1.0,0.6,Case A (Good)
reveal,8801969307247112896_4,0,memcpy,2,5,-6627217369018123590_941,0,,0,0.0632,0.0366,0.0552,0.0,0.0,0.3333,0.1,Uncorrelated / Low Similarity
reveal,-2591112946600337077_5,0,memcpy,2,1,-4106680724983638989_1660,1,memcpy,2,0.292,0.6721,0.4061,1.0,1.0,0.6667,0.9,Case C (Dangerous - Label Mismatch)
